,FOODS
d_1500,30939.0
d_1501,24156.0
d_1502,21362.0
d_1503,21232.0
d_1504,22790.0
d_1505,23406.0
d_1506,28097.0
d_1507,32233.0
d_1508,23103.0
d_1509,20786.0
d_1510,19329.0
d_1511,18970.0
d_1512,20787.0
d_1513,26272.0
d_1514,27824.0
d_1515,21000.0
d_1516,17007.0
d_1517,20386.0
d_1518,18994.0
d_1519,20619.0
d_1520,25981.0
d_1521,27500.0
d_1522,20364.0
d_1523,19656.0
d_1524,22077.0
d_1525,22352.0
d_1526,29325.0
d_1527,32041.0
d_1528,27635.0
d_1529,23578.0
d_1530,22066.0
d_1531,22413.0
d_1532,22856.0
d_1533,23341.0
d_1534,28740.0
d_1535,31177.0
d_1536,22827.0
d_1537,22468.0
d_1538,23119.0
d_1539,20808.0
d_1540,21824.0
d_1541,26782.0
d_1542,28414.0
d_1543,20965.0
d_1544,19239.0
d_1545,19273.0
d_1546,19381.0
d_1547,21930.0
d_1548,27548.0
d_1549,28143.0
d_1550,22109.0
d_1551,19376.0
d_1552,18440.0
d_1553,20054.0
d_1554,26192.0
d_1555,31415.0
d_1556,33010.0
d_1557,24771.0
d_1558,23947.0
d_1559,23769.0
d_1560,22221.0
d_1561,24395.0
d_1562,31497.0
d_1563,25394.0
d_1564,24658.0
d_1565,23653.0
d_1566,22032.0
d_1567,21090.0
d_1568,24383.0
d_1569,27507.0
d_1570,28068.0
d_1571,21915.0
d_1572,19435.0
d_1573,19514.0
d_1574,19400.0
d_1575,22834.0
d_1576,24287.0
d_1577,23145.0
d_1578,24038.0
d_1579,19085.0
d_1580,18855.0
d_1581,18907.0
d_1582,20106.0
d_1583,25104.0
d_1584,26777.0
d_1585,23876.0
d_1586,24439.0
d_1587,24806.0
d_1588,22797.0
d_1589,26735.0
d_1590,31506.0
d_1591,32962.0
d_1592,27594.0
d_1593,26624.0
d_1594,23633.0
d_1595,24558.0
d_1596,27193.0
d_1597,29284.0
d_1598,33602.0
d_1599,34524.0
d_1600,21346.0
d_1601,20254.0
d_1602,22419.0
d_1603,24540.0
d_1604,28664.0
d_1605,27466.0
d_1606,22424.0
d_1607,21517.0
d_1608,20419.0
d_1609,21055.0
d_1610,23007.0
d_1611,26843.0
d_1612,27385.0
d_1613,21250.0
d_1614,20492.0
d_1615,23937.0
d_1616,27128.0
d_1617,35834.0
d_1618,25710.0
d_1619,28844.0
d_1620,28086.0
d_1621,25289.0
d_1622,24232.0
d_1623,26429.0
d_1624,26862.0
d_1625,31624.0
d_1626,33585.0
d_1627,26277.0
d_1628,25155.0
d_1629,25664.0
d_1630,24624.0
d_1631,27650.0
d_1632,29362.0
d_1633,30935.0
d_1634,24475.0
d_1635,22004.0
d_1636,21473.0
d_1637,21974.0
d_1638,24470.0
d_1639,27336.0
d_1640,28447.0
d_1641,23151.0
d_1642,21370.0
d_1643,20647.0
d_1644,21418.0
d_1645,25513.0
d_1646,30788.0
d_1647,34208.0
d_1648,29976.0
d_1649,24605.0
d_1650,25804.0
d_1651,25699.0
d_1652,26559.0
d_1653,31287.0
d_1654,34965.0
d_1655,25278.0
d_1656,24541.0
d_1657,25068.0
d_1658,23609.0
d_1659,26661.0
d_1660,31524.0
d_1661,33402.0
d_1662,25751.0
d_1663,22549.0
d_1664,21184.0
d_1665,20399.0
d_1666,23172.0
d_1667,27509.0
d_1668,30046.0
d_1669,22495.0
d_1670,19432.0
d_1671,19684.0
d_1672,20179.0
d_1673,23083.0
d_1674,27956.0
d_1675,30750.0
d_1676,22742.0
d_1677,23606.0
d_1678,23616.0
d_1679,26022.0
d_1680,24884.0
d_1681,31105.0
d_1682,30802.0
d_1683,30984.0
d_1684,24625.0
d_1685,26091.0
d_1686,23652.0
d_1687,26699.0
d_1688,33062.0
d_1689,34321.0
d_1690,25746.0
d_1691,25522.0
d_1692,22361.0
d_1693,22159.0
d_1694,24862.0
d_1695,31020.0
d_1696,33168.0
d_1697,23952.0
d_1698,21737.0
d_1699,21713.0
d_1700,21615.0
d_1701,24758.0
d_1702,30063.0
d_1703,31061.0
d_1704,22385.0
d_1705,19347.0
d_1706,19656.0
d_1707,23495.0
d_1708,28869.0
d_1709,36094.0
d_1710,35413.0
d_1711,29609.0
d_1712,27077.0
d_1713,24077.0
d_1714,25654.0
d_1715,29016.0
d_1716,31332.0
d_1717,33686.0
d_1718,29101.0
d_1719,24216.0
d_1720,23134.0
d_1721,24750.0
d_1722,25100.0
d_1723,30592.0
d_1724,32013.0
d_1725,23216.0
d_1726,21671.0
d_1727,20943.0
d_1728,21407.0
d_1729,24514.0
d_1730,28678.0
d_1731,29898.0
d_1732,22443.0
d_1733,20743.0
d_1734,19954.0
d_1735,21181.0
d_1736,25171.0
d_1737,26863.0
d_1738,29443.0
d_1739,23514.0
d_1740,24325.0
d_1741,20142.0
d_1742,22225.0
d_1743,25362.0
d_1744,30094.0
d_1745,31634.0
d_1746,25378.0
d_1747,21722.0
d_1748,21893.0
d_1749,22543.0
d_1750,23272.0
d_1751,30514.0
d_1752,33444.0
d_1753,23385.0
d_1754,18746.0
d_1755,20550.0
d_1756,20554.0
d_1757,24562.0
d_1758,27164.0
d_1759,28639.0
d_1760,22584.0
d_1761,22388.0
d_1762,27049.0
d_1763,16533.0
d_1764,16847.0
d_1765,20830.0
d_1766,23727.0
d_1767,19997.0
d_1768,21368.0
d_1769,21893.0
d_1770,23910.0
d_1771,23329.0
d_1772,29867.0
d_1773,31794.0
d_1774,23267.0
d_1775,21889.0
d_1776,22372.0
d_1777,20841.0
d_1778,23632.0
d_1779,29677.0
d_1780,29546.0
d_1781,25062.0
d_1782,24296.0
d_1783,22432.0
d_1784,23600.0
d_1785,22330.0
d_1786,27459.0
d_1787,27441.0
d_1788,22816.0
d_1789,23904.0
d_1790,25401.0
d_1791,24801.0
d_1792,11.0
d_1793,22488.0
d_1794,21520.0
d_1795,18407.0
d_1796,19586.0
d_1797,21653.0
d_1798,28448.0
d_1799,21078.0
d_1800,27822.0
d_1801,29314.0
d_1802,23620.0
d_1803,23769.0
d_1804,22361.0
d_1805,24445.0
d_1806,26351.0
d_1807,35798.0
d_1808,32270.0
d_1809,27101.0
d_1810,24972.0
d_1811,22345.0
d_1812,24669.0
d_1813,28620.0
d_1814,34155.0
d_1815,30334.0
d_1816,25872.0
d_1817,21864.0
d_1818,21667.0
d_1819,20893.0
d_1820,23987.0
d_1821,31424.0
d_1822,31610.0
d_1823,22259.0
d_1824,19981.0
d_1825,20132.0
d_1826,21111.0
d_1827,24055.0
d_1828,30863.0
d_1829,32698.0
d_1830,26690.0
d_1831,23333.0
d_1832,26298.0
d_1833,23300.0
d_1834,26722.0
d_1835,37412.0
d_1836,32421.0
d_1837,25144.0
d_1838,26372.0
d_1839,26112.0
d_1840,30452.0
d_1841,30248.0
d_1842,35686.0
d_1843,32998.0
d_1844,31682.0
d_1845,25542.0
d_1846,24359.0
d_1847,23740.0
d_1848,26388.0
d_1849,32750.0
d_1850,34196.0
d_1851,24198.0
d_1852,22133.0
d_1853,21961.0
d_1854,22406.0
d_1855,24208.0
d_1856,31067.0
d_1857,32834.0
d_1858,24087.0
d_1859,23458.0
d_1860,25150.0
d_1861,27241.0
d_1862,25878.0
d_1863,35200.0
d_1864,38547.0
d_1865,27978.0
d_1866,26276.0
d_1867,25601.0
d_1868,25491.0
d_1869,27897.0
d_1870,34734.0
d_1871,34710.0
d_1872,29086.0
d_1873,27703.0
d_1874,24605.0
d_1875,23502.0
d_1876,26455.0
d_1877,29999.0
d_1878,31758.0
d_1879,24910.0
d_1880,24242.0
d_1881,23262.0
d_1882,22874.0
d_1883,30906.0
d_1884,37135.0
d_1885,32236.0
d_1886,23285.0
d_1887,22191.0
d_1888,21017.0
d_1889,22127.0
d_1890,28627.0
d_1891,34284.0
d_1892,37633.0
d_1893,27025.0
d_1894,27243.0
d_1895,27238.0
d_1896,25655.0
d_1897,29449.0
d_1898,38334.0
d_1899,36446.0
d_1900,29091.0
d_1901,27424.0
d_1902,23888.0
d_1903,25456.0
d_1904,28682.0
d_1905,32007.0
d_1906,34497.0
d_1907,26151.0
d_1908,24948.0
d_1909,23632.0
d_1910,23317.0
d_1911,26704.0
d_1912,31927.0
d_1913,32654.0
d_1914,25953.0
d_1915,23519.0
d_1916,22872.0
d_1917,22915.0
d_1918,27668.0
d_1919,32723.0
d_1920,35369.0
d_1921,29142.0
d_1922,29594.0
d_1923,27199.0
d_1924,28193.0
d_1925,30407.0
d_1926,36752.0
d_1927,31835.0
d_1928,32906.0
d_1929,27331.0
d_1930,29303.0
d_1931,28142.0
d_1932,30107.0
d_1933,36576.0
d_1934,41447.0
d_1935,29158.0
d_1936,26148.0
d_1937,24790.0
d_1938,24737.0
d_1939,28136.0
d_1940,33599.0
d_1941,35967.0
d_1942,23628.15507470376
d_1943,23628.15507470376
d_1944,23628.15507470376
d_1945,23628.15507470376
d_1946,23628.15507470376
d_1947,23628.15507470376
d_1948,23628.15507470376
d_1949,23628.15507470376
d_1950,23628.15507470376
d_1951,23628.15507470376
d_1952,23628.15507470376
d_1953,23628.15507470376
d_1954,23628.15507470376
d_1955,23628.15507470376
d_1956,23628.15507470376
d_1957,23628.15507470376
d_1958,23628.15507470376
d_1959,23628.15507470376
d_1960,23628.15507470376
d_1961,23628.15507470376
d_1962,23628.15507470376
d_1963,23628.15507470376
d_1964,23628.15507470376
d_1965,23628.15507470376
d_1966,23628.15507470376
d_1967,23628.15507470376
d_1968,23628.15507470376
d_1969,23628.15507470376
